Level,Subject,Dataset,Task,Model,KNN
S1,English,Combined,Grades,Decision Tree,TRUE
S1,English,Combined,Scores,LR,TRUE
S1,English,P6,Grades,Decision Tree,TRUE
S1,English,P6,Scores,MLP,TRUE
S1,E Math,Combined,Grades,Decision Tree,TRUE
S1,E Math,Combined,Scores,LR,TRUE
S1,E Math,P6,Grades,Decision Tree,TRUE
S1,E Math,P6,Scores,XGBoost,TRUE
S1,A Math,Combined,Grades,,TRUE
S1,A Math,Combined,Scores,,TRUE
S1,A Math,P6,Grades,,TRUE
S1,A Math,P6,Scores,,TRUE
S1,HCL,Combined,Grades,Auto SKL,TRUE
S1,HCL,Combined,Scores,MLP,TRUE
S1,HCL,P6,Grades,BLSTM,TRUE
S1,HCL,P6,Scores,,TRUE
S1,CL,Combined,Grades,Auto SKL,TRUE
S1,CL,Combined,Scores,LR,TRUE
S1,CL,P6,Grades,Decision Tree,TRUE
S1,CL,P6,Scores,XGBoost,TRUE
S1,ML,Combined,Grades,Decision Tree,TRUE
S1,ML,Combined,Scores,MLP,TRUE
S1,ML,P6,Grades,BLSTM,TRUE
S1,ML,P6,Scores,XGBoost,TRUE
S1,Geography,Combined,Grades,Auto SKL,TRUE
S1,Geography,Combined,Scores,LR,FALSE
S1,Geography,P6,Grades,BLSTM,TRUE
S1,Geography,P6,Scores,MLP,TRUE
S1,History,Combined,Grades,BLSTM,TRUE
S1,History,Combined,Scores,LR,TRUE
S1,History,P6,Grades,Decision Tree,TRUE
S1,History,P6,Scores,XGBoost,TRUE
S1,Science,Combined,Grades,Auto SKL,TRUE
S1,Science,Combined,Scores,LR,TRUE
S1,Science,P6,Grades,Decision Tree,TRUE
S1,Science,P6,Scores,MLP,TRUE
S1,Combined Humanities (SS/Geo),Combined,Grades,,TRUE
S1,Combined Humanities (SS/Geo),Combined,Scores,,TRUE
S1,Combined Humanities (SS/Geo),P6,Grades,,TRUE
S1,Combined Humanities (SS/Geo),P6,Scores,,TRUE
S1,Combined Humanities (SS/His),Combined,Grades,,TRUE
S1,Combined Humanities (SS/His),Combined,Scores,,TRUE
S1,Combined Humanities (SS/His),P6,Grades,,TRUE
S1,Combined Humanities (SS/His),P6,Scores,,TRUE
S1,Pure Biology,Combined,Grades,,TRUE
S1,Pure Biology,Combined,Scores,,TRUE
S1,Pure Biology,P6,Grades,,TRUE
S1,Pure Biology,P6,Scores,,TRUE
S1,Pure Chemistry,Combined,Grades,,TRUE
S1,Pure Chemistry,Combined,Scores,,TRUE
S1,Pure Chemistry,P6,Grades,,TRUE
S1,Pure Chemistry,P6,Scores,,TRUE
S1,Pure Physics,Combined,Grades,,TRUE
S1,Pure Physics,Combined,Scores,,TRUE
S1,Pure Physics,P6,Grades,,TRUE
S1,Pure Physics,P6,Scores,,TRUE
S1,Combined Science (Physics/Chemistry),Combined,Grades,,TRUE
S1,Combined Science (Physics/Chemistry),Combined,Scores,,TRUE
S1,Combined Science (Physics/Chemistry),P6,Grades,,TRUE
S1,Combined Science (Physics/Chemistry),P6,Scores,,TRUE
S1,Combined Science (Biology/Chemistry),Combined,Grades,,TRUE
S1,Combined Science (Biology/Chemistry),Combined,Scores,,TRUE
S1,Combined Science (Biology/Chemistry),P6,Grades,,TRUE
S1,Combined Science (Biology/Chemistry),P6,Scores,,TRUE
S1,Combined Science (Physics/Biology),Combined,Grades,,TRUE
S1,Combined Science (Physics/Biology),Combined,Scores,,TRUE
S1,Combined Science (Physics/Biology),P6,Grades,,TRUE
S1,Combined Science (Physics/Biology),P6,Scores,,TRUE
